title,date,time,end_time,speaker,session_type,url,abstract
"Explain AI Models: Methods and Opportunities in Explainable AI, Data-Centric AI, and Mechanistic Interpretability",TUE 2 DEC,9:30 a.m.,12:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109599,
"Human-AI Alignment: Foundations, Methods, Practice, and Challenges",TUE 2 DEC,9:30 a.m.,12:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109592,
Foundations of Tensor/Low-Rank Computations for AI,TUE 2 DEC,9:30 a.m.,12:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109591,
Energy and Power as First-Class ML Design Metrics,TUE 2 DEC,9:30 a.m.,12:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109589,
New Frontiers of Hyperparameter Optimization: Recent advances and open challenges in theory and practice,TUE 2 DEC,9:30 a.m.,12:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109594,
Planning in the Era of Language Models,TUE 2 DEC,9:30 a.m.,12:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109596,
Large-Scale Real-World Physical AI Systems,TUE 2 DEC,noon,1:30 PM,,Expo Workshop,https://neurips.cc/virtual/2025/128672,
Exploring Trust and Reliability in LLM Evaluation,TUE 2 DEC,noon,1:30 PM,,Expo Workshop,https://neurips.cc/virtual/2025/128673,
CausalFairness: An Open-Source Python Library for Causal Fairness Analysis,TUE 2 DEC,noon,1:30 PM,,Expo Workshop,https://neurips.cc/virtual/2025/128677,
Introduction to Generative Computing,TUE 2 DEC,noon,1:30 PM,,Expo Workshop,https://neurips.cc/virtual/2025/128678,
Hosted Lunch,TUE 2 DEC,noon,1:30 PM,,Break,https://neurips.cc/virtual/2025/break/123911,
Multimodal Superintelligence Workshop,TUE 2 DEC,noon,1:30 PM,,Expo Workshop,https://neurips.cc/virtual/2025/128681,
Exhibit Sponsor Hall,TUE 2 DEC,noon,8:00 PM,,Exhibit Sponsor Hall,https://neurips.cc/virtual/2025/break/131820,
Mobile Video Diffusion Transformers,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128640,
SwiftEdit: Fast Text-guided Image Editing via One-step Diffusion on a Mobile Device,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128639,
Reasoning through Multimodal End-to-End Decision Transformer Networks and Vision Language Action (VLA) models,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128637,
Multimodal AI Forensic Search for Video Surveillance,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128632,
Interpretable AI for Risk-Based Assessment in Global Supply Chains,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128649,
Build verifiable apps using Generative AI and Automated Reasoning,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128651,
"Building Safe, Compliant, and Observable Agentic Systems for Generative AI Applications",TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128650,
Who Needs Attention Anyway? Elastic State Models for Real-Time Streaming Tasks,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128648,
LLM-Powered Intelligent Data Engineering: From Workflow Design to Ingestion andQuality Assurance,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128644,
ContextForge,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128643,
BeeAI,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128642,
Pushing the boundaries of chemical synthesis with RetroChimera,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128641,
Disaggregated LLM Serving on AI Accelerators,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128638,
Generating group photos of multiple people from text and reference images,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128636,
Soft Prompts for On-Device Content Moderation,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128635,
Parallel generation with verification on device,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128634,
Efficient LiDAR Processing with AI Models Leveraging Heterogeneous Compute,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128633,
Checkmate: Fine-tune your own small language model for real-time chess reasoning and gameplay on AWS Trainium,TUE 2 DEC,noon,1:30 PM,,Expo Workshop,https://neurips.cc/virtual/2025/128680,
Learning to Steer LLMs with AI Steerability 360 and In-Context Explainability 360,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128645,
Creative and Protective AI for Music and Entertainment,TUE 2 DEC,noon,1:30 PM,,Expo Workshop,https://neurips.cc/virtual/2025/128679,
ALICE: Agentic Logic for Incident and Codebug Elimination,TUE 2 DEC,noon,3:00 PM,,Expo Demonstration,https://neurips.cc/virtual/2025/128646,
Exhibitor Talk - Simular,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127739,
Recycling the World Computer: Fault-Tolerant LLM Training on Idle GPU Capacity,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127740,
Half Is Heroic: Rewarding Non-Answers for Responsible AI Decision-Making,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127741,
"Auto-SWE-Bench: Scalable, Real-World Benchmarks for LLM Coding Evaluation",TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127742,
Exhibitor Talk - Optiver,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127743,
Tabular and Causal Foundation Modelling: TabDPT and CausalPFN,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127751,
Exhibitor Talk,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127744,
Rights Management Capabilities and Enforcement for AI Music,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127752,
Exploring Pathways into Quantitative Research,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127745,
Semantic Parsing at Bloomberg,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127753,
Entropy by Design: Synthetic Data at Scale,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127746,
ATLAS: AdapTive-LeArning Speculator System for Real-Time LLM Inference Acceleration with Together AI,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127754,
Exhibitor Talk - Cohere,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127755,
"Drug Discovery with Large-Scale, Physics-Based Synthetic Data at D. E. Shaw Research",TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127748,
Agentic AI: Exploring Evolution and Evaluation,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127756,
Measuring Enterprise Agents - Production Readiness Index and Evaluation Environment,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127749,
Measuring Emergent Behavior in AI Agents - Weights & Biases,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127757,
"New Frontier of AI: Eval, RL, and What's Next",TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127750,
Latent Thought Models with Variational Bayes Inference-Time Computation,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127758,
Exhibitor Talk - MathWorks: Would you trust your AI model with your life?,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127759,
I for Code: What We’ve Learned (and Whats Next),TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127760,
From Agent Soup to Proper Software Design: Putting the Developer Back in Control of Generative AI with Mellea,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127761,
Realizing Personal and Enterprise AI Twins - Lenovo,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127762,
From RLHF to RL Environments - Welcoming Agents to the Real World,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127763,
Exhibitor Talk - WRITER,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127764,
Exhibitor Talk - Rennaissance Philanthropy,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127765,
Algorithmic Trading with Large-Scale Deep Learning,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127766,
Automated Curation of Foundation-Scale Pretraining Datasets,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127767,
Databricks Presents a New IDP Benchmark,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127768,
Decentralized Diffusion Models,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127769,
The State of Open Source AI and a Look Into the Future,TUE 2 DEC,noon,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127770,
Muslims in ML,TUE 2 DEC,1 p.m.,5:30 PM,,Affinity Event,https://neurips.cc/virtual/2025/affinity-event/126047,
New in ML,TUE 2 DEC,1 p.m.,5:00 PM,,Affinity Event,https://neurips.cc/virtual/2025/affinity-event/126046,
"Data Privacy, Memorization, & Legal Implications in  Generative AI: A Practical Guide",TUE 2 DEC,1:30 p.m.,4:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109588,
Theoretical Insights on Training Instability in Deep Learning,TUE 2 DEC,1:30 p.m.,4:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109597,
"Recent Developments in Geometric Machine Learning: Foundations, Models, and More",TUE 2 DEC,1:30 p.m.,4:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109600,
"The Science of Benchmarking: What’s Measured, What’s Missed, and What’s Next",TUE 2 DEC,1:30 p.m.,4:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109598,
Scale Test-Time Compute on Modern Hardware,TUE 2 DEC,1:30 p.m.,4:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109595,
Foundations of Imitation Learning: From Language Modeling to Continuous Control,TUE 2 DEC,1:30 p.m.,4:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109590,
Autoregressive Models Beyond Language,TUE 2 DEC,1:30 p.m.,4:00 PM,,Tutorial,https://neurips.cc/virtual/2025/109587,
Recent developments in embodied AI,TUE 2 DEC,4 p.m.,5:00 PM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128653,
Coffee Break,TUE 2 DEC,4 p.m.,4:30 PM,,Break,https://neurips.cc/virtual/2025/break/123912,
Agentic AI/RL,TUE 2 DEC,4 p.m.,5:00 PM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128662,
Building an AI Ecosystem for Multiscale Biological Discovery,TUE 2 DEC,4 p.m.,5:00 PM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128658,
"Ring-1T, Ring-linear and Ming-Flash-Omni: Scaling Knowledge-Enhanced Large Language Models for Reasoning and Efficiency",TUE 2 DEC,4 p.m.,5:00 PM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128657,
Distributed Orthonormal Updates for Large-Scale Training,TUE 2 DEC,4 p.m.,5:00 PM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128655,
Building Foundational Models for Robotics at Tesla,TUE 2 DEC,4 p.m.,5:00 PM,,Expo Talk Panel,https://neurips.cc/virtual/2025/128654,
Welcome Remarks,TUE 2 DEC,5:30 p.m.,6:00 PM,,Remarks,https://neurips.cc/virtual/2025/remarks/123921,
Affinity Joint Poster Session,TUE 2 DEC,6 p.m.,9:00 PM,,Affinity Poster Session,https://neurips.cc/virtual/2025/affinity-poster-session/121954,
Welcome Reception,TUE 2 DEC,6 p.m.,8:00 PM,,Reception,https://neurips.cc/virtual/2025/reception/123922,
Registration Desk,WED 3 DEC,7:30 a.m.,6:00 PM,,Registration Desk,https://neurips.cc/virtual/2025/registration-desk/129040,
Coffee Break,WED 3 DEC,8 a.m.,8:30 AM,,Break,https://neurips.cc/virtual/2025/break/123913,
The Oak Architecture: A Vision of SuperIntelligence from Experience,WED 3 DEC,8:30 a.m.,9:30 AM,,San Diego Invited Talk,https://neurips.cc/virtual/2025/invited-talk/109601,
Exhibit Sponsor Hall,WED 3 DEC,9 a.m.,5:00 PM,,Exhibit Sponsor Hall,https://neurips.cc/virtual/2025/break/131821,
Coffee Break,WED 3 DEC,9:30 a.m.,10:00 AM,,Break,https://neurips.cc/virtual/2025/break/123914,
Arm AI Acceleration in Action: ExecuTorch + ONNX on Mobile and Edge,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127771,
The Importance and Fragility of CoT Monitorability,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127772,
Financial Markets: The Ultimate Testbed for Intelligence (Susquehanna),WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127773,
Scaling AI Workloads with Decentralized GPU Networks: A Systems Perspective,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127774,
Dolphin: A Large-Scale ASR Model for Eastern Languages,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127775,
AI for Creativity,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127776,
Building Enterprise AI to Transform Productivity: Lessons from Atlassian,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127777,
"Bridging Research & Reality - Applied AI, Lessons from CommBank on Applied AI",WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127778,
Exhibitor Talk - Yokogawa Digital Corporation,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127779,
Scaling Data Quality in the Era of LLMs: A Quality Framework,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127780,
Exploring Diffusion Transformer Designs via Grafting,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127781,
Exhibitor Talk - Uber AI Solutions,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127782,
Behind SWE-rebench: infrastructure to build massive datasets of SWE tasks,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127783,
Pearl: A Foundation Model Advancing Small Molecule Drug Discovery,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127784,
Agentic Full-Stack Benchmarking for Knowledge Work,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127785,
The Quiet Enabler: AI-Amplified Discovery,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127786,
Towards A Blueprint for Open Science of Foundation Models,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127787,
T1: A Tool-Oriented Conversational Dataset for Multi-Turn Agentic Planning,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127788,
Gen AI Firsts  - Qualcomm,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127789,
Personalized Dental Care: 3D generative models for biomimetic dental restorations,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127790,
Building close-loop simulation with realtime generative modeling,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127791,
Charting the Course for Human+AI Collaboration at Upwork,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127792,
"Open Source Models in Trading: Free Like a Puppy, Not Like a Beer",WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127794,
Accelerating AI for the Real World: Strategies for safe deployment and rapid scaling,WED 3 DEC,9:30 a.m.,,,Exhibitor Talk,https://neurips.cc/virtual/2025/talk/127793,
Understanding and Mitigating Numerical Sources of Nondeterminism in LLM Inference,WED 3 DEC,10:00,11:00,,Oral,,
Artificial Hivemind: The Open-Ended Homogeneity of Language Models (and Beyond),WED 3 DEC,10:20,11:00,,Oral,,
SAVVY: Spatial Awareness via Audio-Visual LLMs through Seeing and Hearing,WED 3 DEC,10:40,11:00,,Oral,,
Representation Entanglement for Generation: Training Diffusion Transformers Is Much Easier Than You Think,WED 3 DEC,10:00,11:00,,Oral,,
On the Closed-Form of Flow Matching: Generalization Does Not Arise from Target Stochasticity,WED 3 DEC,10:20,11:00,,Oral,,
Why Diffusion Models Don’t Memorize:  The Role of Implicit Dynamical Regularization in Training,WED 3 DEC,10:40,11:00,,Oral,,
Optimal Mistake Bounds for Transductive Online Learning,WED 3 DEC,10:00,11:00,,Oral,,
High-Dimensional Calibration from Swap Regret,WED 3 DEC,10:20,11:00,,Oral,,
Does Stochastic Gradient really succeed for bandits?,WED 3 DEC,10:40,11:00,,Oral,,
Dynam3D: Dynamic Layered 3D Tokens Empower VLM for Vision-and-Language Navigation,WED 3 DEC,10:00,11:00,,Oral,,
Perception Encoder: The best visual embeddings are not at the output of the network,WED 3 DEC,10:20,11:00,,Oral,,
Interactive Cross-modal Learning for Text-3D Scene Retrieval,WED 3 DEC,10:40,11:00,,Oral,,
Adjoint Schrödinger Bridge Sampler,WED 3 DEC,10:00,11:00,,Oral,,
Rethinking Joint Maximum Mean Discrepancy for Visual Domain Adaptation,WED 3 DEC,10:20,11:00,,Oral,,
Class-wise Balancing Data Replay for Federated Class-Incremental Learning,WED 3 DEC,10:40,11:00,,Oral,,
"Design for Intelligence: Humans, Machines and Nature in Emergent Co-Creation",WED 3 DEC,11 a.m.,12:00 PM,,Creative AI Panel,https://neurips.cc/virtual/2025/panel/131737,
Group-Level Data Selection for Efficient Pretraining,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/115486,
Learning Provably Improves the Convergence of Gradient Descent,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/115480,
LittleBit: Ultra Low-Bit Quantization via Latent Factorization,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/115061,
Cost-Efficient LLM Training with Lifetime-Aware Tensor Offloading via GPUDirect Storage,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/118717,
Do LLMs Really Forget? Evaluating Unlearning  with Knowledge Correlation and Confidence Awareness,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/119349,
LLM Strategic Reasoning: Agentic Study through Behavioral Game Theory,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/117505,
Modeling the Economic Impacts of AI Openness Regulation,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/116560,
Social World Model-Augmented Mechanism Design Policy Learning,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/115517,
Two Experts Are All You Need for Steering Thinking: Reinforcing Cognitive Effort in MoE Reasoning Models Without Additional Training,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/115269,
Concept Incongruence: An Exploration of Time and Death in Role Playing,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/120240,
"For Better or for Worse, Transformers Seek Patterns for Memorization",WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/119570,
Taming Hyperparameter Sensitivity in Data Attribution: Practical Selection Without Costly Retraining,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/115862,
LeapFactual: Reliable Visual Counterfactual Explanation Using Conditional Flow Matching,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/119174,
Deferring Concept Bottleneck Models: Learning to Defer Interventions to Inaccurate Experts,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/118116,
Head Pursuit: Probing Attention Specialization in Multimodal Transformers,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/117597,
The Non-Linear Representation Dilemma: Is Causal Abstraction Enough for Mechanistic Interpretability?,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/117348,
Capturing Polysemanticity with PRISM: A Multi-Concept Feature Description Framework,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/117141,
On the creation of narrow AI: hierarchy and nonlocality of neural network skills,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/116253,
Evaluating LLM-contaminated Crowdsourcing Data Without Ground Truth,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/116392,
Neural Networks for Learnable and Scalable Influence Estimation of Instruction Fine-Tuning Data,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/119901,
Bootstrapping Hierarchical Autoregressive Formal Reasoner with Chain-of-Proxy-Autoformalization,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/120138,
Sculpting Features from Noise: Reward-Guided Hierarchical Diffusion for Task-Optimal Feature Transformation,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/120336,
CXReasonBench: A Benchmark for Evaluating Structured Diagnostic Reasoning in Chest X-rays,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/121386,
Revisiting Reinforcement Learning for LLM Reasoning from A Cross-Domain Perspective,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/121387,
Enhancing Multilingual LLM Pretraining with Model-Based Data Selection,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/121408,
STARC-9: A Large-scale Dataset for Multi-Class Tissue Classification for CRC Histopathology,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/121437,
ChemPile: A 250 GB Diverse and Curated Dataset for Chemical Foundation Models,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/121490,
Fair Continuous Resource Allocation with Equality of Impact,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/118309,
The Boundaries of Fair AI in Medical Image Prognosis: A Causal Perspective,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/118323,
DEGauss: Defending Against Malicious 3D Editing for Gaussian Splatting,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/118529,
Taught Well Learned Ill: Towards Distillation-conditional Backdoor Attack,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/118829,
"Adjacent Words, Divergent Intents: Jailbreaking Large Language Models via Task Concurrency",WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/118973,
GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/119770,
Efficient Fairness-Performance Pareto Front Computation,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/119813,
Epistemic Uncertainty for Generated Image Detection,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/119869,
Semantic Surgery: Zero-Shot Concept Erasure in Diffusion Models,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/120054,
Information Retrieval Induced Safety Degradation in AI Agents,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/120115,
Improving Deep Learning for Accelerated MRI With Data Filtering,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/121672,
Redefining Experts: Interpretable Decomposition of Language Models for Toxicity Mitigation,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/120183,
DeceptionBench: A Comprehensive Benchmark for AI Deception Behaviors in Real-world Scenarios,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/121389,
NeuroRenderedFake: A Challenging Benchmark to Detect Fake Images Generated by Advanced Neural Rendering Methods,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/121516,
Comprehensive Assessment and Analysis for NSFW Content Erasure in Text-to-Image Diffusion models,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/121540,
CARES: Comprehensive Evaluation of Safety and Adversarial Robustness in Medical LLMs,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/121833,
Interpretable and Parameter Efficient Graph Neural Additive Models with Random Fourier Features,WED 3 DEC,11:00,2:00,,Poster,https://neurips.cc/virtual/2025/poster/115112,
