title,authors,time/date,abstract
2nd Workshop on the Challenge Of Out-of-Label Hazard Detection in Autonomous Driving,"Ali K. AlShami, Ryan Rabinowitz, Maged Shoman, Jianwu Fang, Lukáš Picek, Shao-yuan Lo, Steve Cruz, Khang Lam, Jugal Kalita, Terrance E. Boult",,"The 2nd Workshop on the Challenge Of Out-Of-Label Hazards in Autonomous Driving (2COOOL) focuses on enhancing safety and robustness in autonomous systems by tackling challenges posed by unknown or out-of-distribution objects and behaviors. The workshop brings together researchers and practitioners from academia and industry, including our diverse team of co-organizers, to explore state-of-the-art solutions and techniques across various domains for real-world driving environments. It features expert keynotes, paper presentations, and a Kaggle challenge on generating hazard and accident reports from dashboard cameras. 2COOOL aims to advance the frontier of autonomous driving by fostering innovation to handle unexpected scenarios and build more robust ADAS systems."
RetailVision6 - Revolutionizing the World of Retail,"Ehud Barnea,Yosi Keller,Marina Paolanti,Sean Ma,Austen Groener,Weijian Li,Quanfu Fan,Rocco Pietrini",,"Recent advances in computer vision have significantly impacted the retail sector, introducing new opportunities and challenges across both physical and online domains. This workshop explores key problems such as shopper-product interaction, fine-grained recognition of visually similar and frequently changing products, and large-scale visual search across over 100,000 product classes. It also showcases advancements in generative models for tasks like product image synthesis and virtual try-on. These are just some of the challenges in the retail domain. By highlighting recent progress and open research directions, the workshop aims to bring together researchers and practitioners to advance the state of computer vision in retail."
Foundations Models for V2X-Based Cooperative Autonomous Driving,"Walter Zimmer, Ross Greer, Max Ronecker, Lars Ullrich, Arpita Vats, Chuheng Wei, Haibao Yu, Rui Song, Jiajie Zhang, Julie Stephany Berrio Perez, Zewei Zhou, Tianhui Cai, Yifan Liu, Haoxuan Ma, Xingcheng Zhou, Rahul Raja, Zhengzhong Tu, Holger Caesar, Alina Roitberg, Guoyuan Wu, Jiaqi Ma, Daniel Watzenig, Mohan Trivedi, Alois Knoll",,"DriveX explores the integration of foundation models and V2X-based cooperative systems to improve perception, planning, and decision-making in autonomous vehicles. While traditional single-vehicle systems have advanced tasks like 3D object detection, emerging challenges like holistic scene understanding and 3D occupancy prediction require more comprehensive solutions. Collaborative driving systems, utilizing V2X communication and roadside infrastructure, extend sensory range, provide hazard warnings, and improve decision-making through shared data. Simultaneously, Vision-Language Models (VLMs) offer generalization abilities, enabling zero-shot learning, open-vocabulary recognition, and scene explanation for novel scenarios. DriveX aims to bring together experts to explore these technologies, address challenges, and advance road safety."
Learning to See: Advancing Spatial Understanding for Embodied Intelligence,"Hongyang Li, Philipp Krähenbühl, Kashyap Chitta, Eric Jang, Andrei Bursuc, Huijie Wang",,"The world is three-dimensional. This fact was first seen by trilobites, the first organisms capable of sensing light. From that moment, nervous systems began to evolve, gradually transforming mere sight into insight, understanding, and action. All these combined gives rise to intelligence. Despite remarkable technological advancements in recent decades, modern embodied systems remain far from achieving full intelligence. They fall short in several key aspects: (i) contain information necessary for physical interaction, such as temporal dynamics of the scene; (ii) have a prior over semantic relevance, and should focus on task-relevant features like objects and their relationships; and (iii) be compact, avoiding the inclusion of irrelevant details, such as background elements. Attempts have been made, including integrating foundational models and utilizing large-scale data. Yet, the path to true intelligence remains long, with significant progress still required."
Computer Vision for Fashion; Art; and Design: Bridging Creativity and Responsible AI,"Leonidas Lefakis. Ziad Al-Halah, Negar Rostamzadeh, Thomas Boquet, Julia Lasserre, Loris Bazzani, Ibtihel Amara, Sahar Mbarek, Reza Shirvany",,"The Computer Vision for Fashion, Art, and Design workshop series aims to to foster interdisciplinary discussions among researchers and practitioners in computer vision and machine learning, as well as artists, designers, sociotechnical researchers, policymakers, social scientists, and other cultural stakeholders. By creating a collaborative space, it aims to address complex challenges that arise at the intersection of generative AI, creativity, and ethics. This year the workshop includes, in addition to multiple invited talks by scientists working in the field, an Art Gallery, and a related Panel discussion."
Interactive Human-centric Foundation Models,"Shixiang Tang, Yizhou Wang, Xin Chen, Wanli Ouyang, Shiyao Xu, Jing Liu, Emily Kim, Xiaowei Zhou, Taku Komura, Gül Varol, Nicu Sebe, Wampfler Rafael",,"While Human-Centric Foundation Models (HFM) excel at perceiving and generating human data, they remain passive, struggling with real-time interaction and adaptation. This limits real-world deployment. The emerging field of Interactive HFM (I-HFM) addresses this by enabling bidirectional engagement. I-HFMs operate across three critical dimensions: (a) interacting with users for intuitive content creation/refinement, (b) interacting with environments to learn and adapt like humans, and (c) interacting with other agents for collaborative task-solving. This interactivity transforms AI from passive models into proactive, human-like agents, bridging the gap towards responsive, socially intelligent AGI that integrates seamlessly into human societies."
Vision-based AI for Digital Health: From Pixels to Practics,"Hui Zhang, Bojian Ho, Yuanfang Guan, Guangchen Ruan",,"The workshop aims to unite researchers and practitioners at the intersection of vision-based AI and large language models (LLMs) to advance digital health innovation. By showcasing deep‑learning applications on high‑resolution imaging modalities (e.g., MRI, CT, retinal photography), we’ll explore how early disease detection and automated image review can boost diagnostic accuracy and streamline clinical workflows. We’ll also delve into emerging “Vision + LLM” systems that fuse visual understanding with natural‑language capabilities for automated report generation, intelligent literature retrieval, and interactive decision support. Through presentations and discussions, participants will identify challenges, exchange best practices, and chart pathways toward more personalized, data‑driven care."
Workshop on Computer Vision with Single-Photon Cameras,"Atul Ingle, Sotiris Nousias, Mian Wei, Mel White",,"Single-photon cameras are an emerging class of camera technology with the potential to revolutionize the way today’s computer vision systems capture and process scene information, thanks to their extreme sensitivity, high speed capabilities, and increasing commercial availability. These cameras can be used for a wide range of applications: self-driving cars and autonomous robots, high-sensitivity cameras for night photography and fluorescence-guided surgeries, and high dynamic range cameras for industrial machine vision and biomedical imaging applications. This workshop will showcase the myriad ways in which single-photon cameras are used today in computer vision and inspire new unexplored applications."
3rd Workshop on Vision-based InduStrial InspectiON,"Shancong Mou, Hao Yan, Zirui Liu, Juan Du, Gokberk Cinbis, Wan Wang",,"The VISION workshop will provide a platform for the exchange of scholarly innovations and emerging practical challenges in Vision-based Industrial Inspection. Through a series of keynote talks, technical presentations, and challenge competitions, this workshop aims to (i) bring together researchers from the interdisciplinary research communities related to computer vision-based inspection; and (ii) connect researchers and industry practitioners to synergize recent research progress and current needs in industrial practice."
Memory and Vision,"Zexue He,Jovana Kondic,Dmitry Krotov,Rogerio Feris",,"Memory is a core aspect of human intelligence, and artificial memory systems have recently seen a resurgence through foundational breakthroughs. At the same time, advances in computer vision, especially through generative AI, have enabled models to synthesize realistic imagery and understand complex scenes with remarkable generalization. Despite their shared relevance to cognition, memory and vision have evolved largely as separate fields. MemVis is the dedicated platform organized around the growing need to unify memory and vision, in the development of intelligent AI systems that can process, store, and recall visual information in a more human-like manner."
Geometry-Free Novel View Synthesis and Controllable Video Models,"Andrea Tagliasacchi, Sherwin Bahmani, Despoina Paschalidou, David Lindell, Konstantinos Derpanis, Marcus Brubaker, Boyang Deng, Haven (Haiwen) Feng, Qianqian Wang, Siyu Tang, Leonidas Guibas",,"This workshop focuses on recent advances in video generative models and their applications in 3D and 4D generation and reconstruction. Topics include camera- and motion-controlled video synthesis, large-scale 3D/4D reconstruction, neural rendering, and generative model-guided pipelines. A central focus is geometry-free novel view synthesis with video diffusion models, enabling spatial control without explicit 3D geometry. The program also covers the distillation of temporal models into spatial representations. By highlighting these developments, the workshop aims to chart the path toward more controllable, photorealistic, and efficient generative pipelines that unify video generation with 3D and 4D reconstruction."
Instance-Level Recognition and Generation Workshop,"Andre Araujo,Bingyi Cao,Kaifeng Chen,Ondrej Chum,Noa Garcia,Guangxing Han,Giorgos Kordopatis-Zilos,Giorgos Tolias,Hao Yang,Nikolaos-Antonios Ypsilantis,Xu Zhang",,"The Instance-Level Recognition and Generation (ILR+G) Workshop focuses on computer vision tasks that operate at instance-level granularity, covering both recognition (ILR) and generation (ILG). Unlike category-level, ILR identifies and compares specific objects, scenes, or events, enabling open-world applications with a vast number of distinct classes. ILG, or personalized generation, aims to create content while preserving the identity of particular instances. This 7th edition explores potential synergies between ILR and ILG. The workshop features keynote talks by renowned speakers, invited papers, and a call for papers, aiming to bring together researchers working on instance-level tasks and inspire new research and collaborations."
The Eighth International Workshop on Computer Vision for Physiological Measurement (CVPM),"Daniel McDuff, Wenjin Wang, Sander Stuijk, Tim Marks, Hassan Mansour, Vineet R. Shenoy",,The Eighth International Workshop on Computer Vision for Physiological Measurement (CVPM) is the top venue for research on computer vision methods for measuring and modeling physiological processes.  The goal of the workshop is to bridge the disciplines of computer vision and biomedical science and help effectively translate advances in AI into practice.
Story-Level Movie Understanding and Audio Description,"Junyu Xie, Ridouane Ghermi, Tengda Han, Max Bain, Arsha Nagrani, Gül Varol, Weidi Xie, Vicky Kalogeiton, Ivan Laptev, Andrew Zisserman",,"The SLoMO workshop brings together researchers focused on the understanding of long-form, edited videos—such as movies and TV episodes. We spotlight two central research directions: (i) Audio Description (AD) Generation: This track explores the generation of concise and coherent descriptions that complement the original audio for blind and visually impaired (BVI) audiences. We have invited four leading experts in movie understanding and AD generation to share their insights and recent advancements in the field. (ii) Movie Question Answering: This track evaluates models’ capabilities in narrative comprehension, emphasizing story-level understanding. As part of this effort, we host the Short-Films 20K (SF20K) Competition, which aims to drive progress in story-level video understanding using the newly introduced SF20K dataset."
Structural Priors for Vision,"Sangwoo Mo,Congyue Deng,Hila Chefer,Daniel Zoran,Kaichun Mo,Leonidas Guibas,Stella Yu",,"In recent years, there has been a growing trend toward training data-centric, large-scale foundation models that reduce reliance on structural priors. However, is simply scaling up Transformers truly the ultimate solution for computer vision? In this workshop, we aim to reintroduce structural priors and explore how they can further push the boundaries of foundation models. Our workshop provides an interdisciplinary space for sharing ideas across domains. For example, scene-aware 2D perception can enhance 3D modeling and robotic manipulation, while geometric reasoning can enhance the visual grounding of 2D perception and multimodal models. Through these interactions, we aim to better define the role of priors in vision foundation models."
The Challenge of Detecting Synthetic Manipulations in ID Documents,"Pavel Korshunov,Nevena Shamoska,Magdalena Połać,Vedrana Krivokuca,Vidit,Amir Mohammadi,Christophe Ecabert,Sébastien Marcel",,"The DeepID challenge aims to advance state of the art in detection of digitally manipulated ID documents. Recent increase in fraudulent attempts to bypass know your customer (KYC) services with generated or manipulated images of ID documents calls for automated robust detection methods. In this challenge, we provided participants with a training dataset of fantasy ID cards containing both bona fide and manipulated samples (faces swapped and text inpainted). For evaluation, we created a separate test set of fantasy ID cards and also a private 20K set of real world ID documents with genuine bona fide and digitally manipulated versions. We evaluated the docker submissions from more than 25 participated teams using an air gapped machine on the two datasets. The workshop will feature two keynote talks from renown researchers in media forensics and the top winning teams of the challenge."
Generative AI for Audio-Visual Content Creation,"Masato Ishii,Takashi Shibuya,Yuki Mitsufuji,Ho Kei Cheng,Alexander Schwing,Prem Seetharaman,Oriol Nieto,Justin Salamon,David Bourgin,Bryan Russell,Ziyang Chen,Sanjoy Chowdhury",,"Seamless integration of audio and visual elements is crucial for creating immersive and engaging content. Audio-visual generation, involving the synthesis of one modality from the other or both jointly, has become a key research area. This capability holds significant potential for applications like virtual reality, gaming, film production, and interactive media, using advanced generative models to enhance multimedia quality and realism. This workshop highlights the growing importance of audio-visual generation in modern content creation, bringing together researchers and practitioners from academia and industry to explore the latest advances, challenges, and emerging opportunities in this dynamic field."
The 2nd AI for Visual Arts Workshop and Challenges,"Deblina Bhattacharjee, Bingchen Zhao, Rahul Raja",,"The AI4VA workshop at ICCV explores the intersection of artificial intelligence and the visual arts, including art, design, exhibitions, photography, and film. It brings together artists, art historians, ethicists, and researchers to foster cross-disciplinary innovation. Topics include generative art, AI for art history, 3D reconstruction from artworks, human pose estimation in art, VQA and captioning for artworks, multimodal interaction, AR/VR for art, and multimedia content analysis. A key aim is fostering participation across diverse creators and researchers. A special focus is AI for Cultural and Artistic Heritage, highlighting advances in analysing, restoring, and interpreting artefacts using multimodal AI across visual, textual, and historical data."
Embedded Vision Workshop,"Tse-Wei Chen, Branislav Kisacanin, Ahmed Nabil Belbachir, Marius Leordeanu",,"Embedded vision is an active field of research, bringing together efficient learning models with fast computer vision and pattern recognition algorithms, to tackle many areas of robotics and intelligent systems that are enjoying an impressive growth today. Such strong impact comes with many challenges that stem from the difficulty of understanding complex visual scenes under the tight computational constraints required by real-time solutions on embedded devices. The Embedded Vision Workshop will provide a venue for discussing these challenges by bringing together researchers and practitioners from the different fields outlined above."
Computer Vision for Developing Countries,"Cuong Dao, Du Tran, Tuan-Anh Vu, Williem, Siddhartha Gairola, Ujjwal Verma, Vannkinh Nom",,"The Computer Vision for Developing Countries (CV4DC) workshop aims to create a supportive environment where students/researchers in the field of computer vision and related areas in AI can connect with each other, share their latest work, and expand their network for potential future collaborations and mentorships. This workshop empowers students and researchers from underrepresented, developing countries by providing opportunities to network, learn from the field experts, and share their work. We believe giving opportunities to students and researchers from lesser-known countries will foster diversity in computer research, leading to richer and more innovative contributions to the field."
The Third Perception Test Challenge,"Joe Heyward, Nikhil Parthasarathy, Joao Carreira, Dima Damen, Andrew Zisserman, Viorica Patraucean, Eunice Yiu, Shiry Ginosar, Saman Motamed, Priyank Jaini",,"The 3rd Perception Test challenge comprehensively evaluates the perception capabilities of large multimodal models using the Perception Test benchmark. This year, novel tracks unify diverse tasks under common interfaces: joint object/point tracking, joint action/sound localisation, and unified multiple-choice videoQA (integrating non-semantic tasks via inpainted queries). A new VLM interpretability track is included to investigate model strengths and failures. Guest tracks cover image understanding (KiVA) and video generation (Physics-IQ). Our workshop provides a venue to evaluate all foundation vision models—discriminative, generative, image- or video-based. Prizes up to 50k EUR are available."
Foundation Data for Industrial Tech Transfer,"Yoshihiro Fukuhara, Hirokatsu Kataoka, Püren Güler, Shunsuke Kitada, Xavier Boix, Dan Hendrycks, Keisuke Tateno, Shinichi Mae, Tatsuya Komatsu, Nishant Rai, Ryo Nakamura, Risa Shinoda, Takahiro Itazuri, Yoshiki Kubotani, Guarin Flück, Wadim Kehl, Kazuki Kozuka, Philipp Wirth",,"Recently, transformer-based foundation models have excelled across a wide range of recognition and generation benchmarks, yet real industrial impact requires robust tech transfer. Adapting them to heterogeneous industries demands domain-specific fine-tuning, reliable MLOps, and abundant, high-quality data. Conventional IID benchmarks are increasingly saturated, prompting evaluations that probe out-of-distribution and long-tail behavior. Both challenges hinge on curating and exploiting broader, deeper — “Foundation Data.” This workshop gathers academia and industry to examine methods for constructing high-quality datasets, refine model-adaptation pipelines, and design novel evaluation tasks grounded in Foundation Data, aiming to unlock new horizons in AI research and application."
2nd Beyond Euclidean Workshop: Hyperbolic and Hyperspherical Learning for Computer Vision,"Georgios Leontidis, Aiden Durrant, Fabio Galasso, Michael Kampffmeyer, Pascal Mettes, Leyla Mirvakhabova, Adín Ramírez Rivera, Indro Spinelli, Stella Yu",,"Within deep learning, Euclidean geometry is the default basis for deep neural networks, yet the naive assumption that such a topology is optimal for all data types and tasks does not necessarily hold. A growing body of evidence suggests that data and the representations we aim to learn can be better captured through learning in corresponding geometries that exhibit non-Euclidean structures. Interest in non-Euclidean deep learning has grown dramatically in recent years, driven by advancing methodologies, libraries, and applications. The 2nd Beyond Euclidean workshop brings together computer vision researchers and keynote speakers who share an interest in exploring non-Euclidean geometry."
Driving Simulation from Real-World Data: How Well Can We Render and Drive?,"Yiyi Liao, Hongyu Zhou, Yichong Lu, Bingbing Liu, Hongbo Zhang, Jiansheng Wei, Ziqian Ni, Yiming Li, Andreas Geiger",,"This workshop brings together researchers in autonomous driving, computer vision, and graphics to advance the development of real-world data-driven driving simulators, as well as the autonomous driving algorithms in these photorealistic simulation environments. By tackling novel view synthesis and closed-loop autonomy in photorealistic simulations, we aim to push scalable, high-fidelity simulation forward. To promote community engagement and benchmarking, we also host two challenges: extrapolated novel view synthesis for urban scenes and closed-loop evaluation in photorealistic simulators."
Multi-modal Localization and Mapping,"Timothy D Barfoot, Luca Carlone, Daniel Cremers, Frank Dellaert, Ayoung Kim, Yan Xia, Niclas Zeller",,"Multi-modal Localization and Mapping is an essential component of computer vision, with diverse applications in fields such as autonomous robotics, augmented reality, and beyond. This workshop aims to unite researchers, practitioners, and enthusiasts to explore the latest advancements, challenges, and innovations in multi-modal localization and mapping. By leveraging information from various sensors (e.g. camera, IMU, LiDAR, radar, and language), multi-modal approaches can significantly enhance localization and mapping accuracy in complex environments."
Joint Workshop on Marine Vision,"David Nakath, Malte Pedersen, Alexandra Branzan Albu, Anthony Hoogs, Derya Akkaynak, Maia Hoeberechts, Kevin Köser, Thomas B. Moeslund, Joakim B. Haurum, Justin Kay, Rupa Kurinchi-Vendhan",,"This workshop is organized as a collaboration between the 6th Workshop on Computer Vision for Analysis of Underwater Imagery (CVAUI) and the 3rd Automated Analysis of Marine Visual Data for Environmental Monitoring (AAMVEM). Visually monitoring marine environments poses a vastly different task compared to monitoring terrestrial environments. It is physically challenging to acquire underwater data, and the data typically have low signal-to-noise ratios due to the scattering nature of the water body. The aim of this workshop is to deepen the understanding of the challenges related to marine monitoring and to advance computer vision techniques to address them."
Workshop on Biomedical Image and Signal Computing for Unbiasedness; Interpretability; and Trustworthiness,"Romeo Lanzino, Bardh Prenkaj, Joanna Materzynska, Ananya Joshi, Silvia Zottin, Axel De Nardin, Tsui-Wei (Lily) Weng, Fabio Galasso, Gian Luca Foresti, Luigi Cinque, Roberto Cipolla",,"This workshop focuses on the foundational challenges of building AI systems that are unbiased, interpretable, and trustworthy. It aims to uncover the origins of algorithmic and data bias, advance the science of interpretability, and explore rigorous evaluation methods to ensure AI reliability. By bringing together researchers across biomedical imaging and signal processing, the workshop highlights novel methodologies and theoretical insights, emphasizing UIT as a scientific discipline rather than just an application concern. The event will showcase recent advances and foster discussions on future directions for inherently fair and transparent AI systems."
Workshop on Safe and Trustworthy Multimodal AI Systems,"Carlos Hinojosa, Yinpeng Dong, Adel Bibi, Jindong Gu, Yichi Zhang, Wenxuan Zhang, Lama Alssum, Andres Villa, Juan Carlos L. Alcazar, Chen Zhao, Lingjuan Lyu, Mohamed Elhoseiny, Bernard Ghanem, Philip Torr",,"Multimodal systems are transforming AI by enabling models to understand and act across language, vision, and other modalities, driving advances in robotics, autonomous driving, and scientific discovery. However, these capabilities raise serious safety and trustworthiness concerns, as traditional safeguards often fall short in multimodal contexts. The Workshop on Safe and Trustworthy Multimodal AI Systems (SaFeMM-AI) at ICCV 2025 brings together the computer vision community to address challenges including hallucinations, privacy leakage, and jailbreak vulnerabilities, and to promote the development of safer, more robust, and reliable multimodal models that can handle unsafe or adversarial inputs and consistently produce trustworthy outputs."
Human-Interactive Generation and Editing,"Xi Chen, Shaoteng Liu, Jinbo Xing, Xin Yu, Yuanhao Cai, Tianyu Wang, Xiaojuan Qi, Hengshuang Zhao, Scott Cohen, Radu Timofte, Alan Yuille, Zhe Lin",,"The rapid evolution of generative AI has reshaped content creation across images, video, and 3D/4D visuals. This workshop focuses on cutting-edge methodologies, practical applications, and open challenges in image/video/3D/4D generation and related editing tasks with an emphasis on flexible and friendly human interactions and multi-modal control signals. This workshop will serve as a platform for researchers and practitioners to discuss key topics related to visual content creation and editing with versatile interactions."
Multispectral Imaging for Robotics and Automation,"Shiho Kim, Yagiz Nalcakan, Rui Fan, Kailun Yang, Yalın Baştanlar, Ömer Şahin Taş, Jun Won Choi, Ukcheol Shin, Michal Kovac",,"The Multispectral Imaging for Robotics and Automation (MIRA) workshop brings together researchers and practitioners at the intersection of multispectral imaging, computer vision, and robotics. By leveraging data beyond the visible spectrum, multispectral imaging enables robust perception in challenging conditions, supporting applications from autonomous driving and industrial inspection to agricultural automation and search and rescue. MIRA aims to foster interdisciplinary collaboration across academia and industry, highlighting advances in sensor technology, spectral image processing, and downstream tasks like detection, segmentation, and decision-making. We welcome contributions exploring novel methods, applications, and datasets that advance the state of multispectral robotics."
Artificial Social Intelligence Workshop,"Fiona Ryan, Leena Mathur, Anshul Gupta, Evonne Ng, Shiry Ginosar, Sangmin Lee, Paul Liang, Judy Hoffman, James M. Rehg, Louis-Philippe Morency",,"Humans use social intelligence to interpret and navigate interactions with other people and agents in our shared world. As AI systems become pervasive in human social situations, it is crucial to improve the social intelligence of these systems in order for them to seamlessly work with, for, and around humans. This workshop aims to bring together researchers from computer vision and other communities to collaborate towards building computational foundations for core social intelligence abilities. This edition of our workshop centers discussions, keynotes, and paper presentations around the topics of reasoning, multimodality, and embodiment in socially-intelligent AI."
SEA: 1st workshop on Sustainability with Earth observation and AI,"Zhuo Zheng, Junjue Wang, Xiaoyan Lu, Xinyu Dou, Gengchen Mai, Yanfei Zhong, Liangpei Zhang, Marshall Burke, David Lobell, Stefano Ermon",,"The workshop brings together researchers, practitioners, and policy‑makers to advance the state‑of‑the‑art in applying artificial intelligence to Earth observation for sustainability challenges. Technically, this workshop explores how state-of-the-art EO data-tailored foundation models, efficient architectures, and novel learning paradigms can be leveraged or adapted to tackle pressing sustainability challenges. Topics include, but are not limited to, climate monitoring, disaster response, biodiversity, agriculture, urban development, clean energy, and social economics."
