name,description,company_url,tier
Foxconn,"Hon Hai Technology Group (Foxconn) is the world’s largest electronics manufacturer and leading technological solutions provider. It is 28th in Fortune Global 500, one of the world's largest employers and operates over 230 campuses in 24 countries. Industries of EVs, digital health, and robotics plus AI, semiconductors and next-generation communications technologies plus platforms of Smart Manufacturing, Smart EV, Smart City, make up the “3+3+3” strategy driving the Group’s long-term growth.",https://www.foxconn.com/,Diamond
GIGABYTE,"Giga Computing, a subsidiary of GIGABYTE, designs, manufactures, and sells GIGABYTE server products, leveraging expertise in Gen AI server hardware and advanced cooling technologies. Operating independently, it invests strategically to deliver a broad portfolio spanning data centers to edge environments, addressing workloads in HPC, AI, data analytics, 5G, and cloud. In close collaboration with NVIDIA, it develops cutting-edge, secure, scalable, and sustainable solutions.",https://www.gigabyte.com/,Diamond
Lenovo,"Focused on a bold vision to deliver Smarter Technology for All, Lenovo has built on its success as the world’s largest PC company with a pocket-to cloud portfolio of AI-enabled, AI-ready, and AI-optimized devices (PCs, workstations, smartphones, tablets), infrastructure (server, storage, edge, high performance computing and software defined infrastructure), software, solutions, and services.",https://www.lenovo.com/,Diamond
Nscale,"Nscale designs, builds, and operates sovereign, sustainable, and modular AI factories that deliver high-performance GPU clusters to accelerate AI cloud services globally. Nscale keeps every byte of data and every AI workload within national or regional borders, ensuring full compliance with local regulations and security mandates. You gain a dedicated, private AI cloud on domestic soil, which is essential for government and enterprise.",https://www.nscale.com/,Diamond
PNY Technologies,"PNY is a global technology leader committed to delivering high-quality consumer and business-grade solutions. With 40 years of expertise, PNY serves consumers, B2B clients, and OEMs worldwide. Our products are available in more than 50 countries, supported by 20 company locations across North America, Latin America, Europe, and Asia. Our solutions are offered through leading retailers, e-tailers, wholesalers, and distributors.",https://www.pny.com/,Diamond
QCT,"Quanta Cloud Technology (QCT) designs, manufactures, integrates, and services cutting-edge offerings for 5G Telco/Edge, AI/HPC, Cloud, and Enterprise infrastructure via its global network. Product lines include hyper-converged and software-defined data center solutions as well as servers, storage, and network switches from 1U to entire racks with a diverse ecosystem of hardware components and software partners to fit a variety of business verticals and workload parameters.",https://www.qct.io/,Diamond
Schneider Electric,"We are a global energy technology partner bringing world-leading expertise in electrification, automation and digitization to smart industries, resilient infrastructure, future-proof AI factories, intelligent buildings, and intuitive homes.",https://www.se.com/,Diamond
Supermicro,"Supermicro® (NASDAQ: SMCI), with 30+ years of leadership in AI, Enterprise, cloud, and 5G Telco/Edge Infrastructure solutions, pioneers the industry with Building Block Solutions® and Green Computing servers. Its customizable, efficient, and sustainable IT offerings such as liquid-cooling technology redefine performance standards and environmental responsibility.",https://www.supermicro.com/,Diamond
Tata Consultancy Services (TCS),"Tata Consultancy Services (TCS), part of the Tata Group, is a global leader in IT services and digital transformation. Since 1968, TCS has delivered innovation and excellence, serving clients across 55 countries with 202 delivery centers. Recognized as a top employer worldwide, TCS drives adaptive enterprises through cutting-edge technologies. It sponsors major marathons globally and reported revenues of $30B in FY 2025. Learn more at www.tcs.com.",https://www.tcs.com/,Diamond
Together AI,"Together AI is the AI Native Cloud built with a full suite of tooling across model training, fine-tuning, and inference. AI-native builders can reliably scale their apps to meet demand, while gaining from industry-leading price performance and breakthrough research from our leading AI systems researchers. Trusted by leading AI natives like ElevenLabs, Cursor, Decagon, AI21, Hedra, and Cartesia, and SaaS innovators like Salesforce, Zoom, and Zomato, Together AI powers AI-native applications.",https://www.together.ai/,Diamond
Vertiv,"Vertiv (NYSE: VRT) combines hardware, software, analytics and ongoing services to enable its customers’ vital applications to run continuously, perform optimally and grow with their needs. Vertiv solves important challenges facing data centers, communication networks and commercial and industrial facilities with a portfolio of power, cooling and IT infrastructure solutions and services from the cloud to the edge of the network. HQ: Westerville, Ohio, USA, Vertiv does business in 130+ countries.",https://www.vertiv.com/,Diamond
Wistron & Wiwynn,"Wistron, a global leader in technology and communication solutions, drives innovation across industries with advanced design and manufacturing expertise. Its subsidiary, Wiwynn, specializes in cloud IT infrastructure and AI-driven solutions, empowering hyperscale data centers worldwide. Together, we deliver cutting-edge technologies that accelerate digital transformation and sustainable growth.",,Diamond
World Wide Technology,"World Wide Technology (WWT), a technology solutions provider leading the AI and Digital Revolution, offers a proven approach for organizations to evaluate, architect and implement multi-vendor solutions. Through the Advanced Technology Center, clients have hands-on access to capabilities across infrastructure, AI, security, cloud and more. Learn more at wwt.com.",https://www.wwt.com/,Diamond
Accenture,"Accenture is a leading solutions and global professional services company that helps the world’s leading enterprises reinvent by building their digital core and unleashing the power of AI to create value at speed across the enterprise, bringing together the talent of our approximately 779,000 people, our proprietary assets and platforms, and deep ecosystem relationships.",https://www.accenture.com/,Platinum
AHEAD,"AHEAD creates integrated AI platforms and resilient digital backbones on NVIDIA technologies that help leading organizations move from experimentation to AI at scale. As an NVIDIA Elite Partner, our consultative approach, engineering depth, and innovative solutions unlock the full value of accelerated computing in every client we serve.",https://www.ahead.com/,Platinum
Akamai Technologies,"Akamai is the cybersecurity and cloud computing company that powers and protects business online. We provide the critical infrastructure enterprises need to build, secure, and scale next-generation AI applications — without the cost and constraints of centralized clouds. Our distributed architecture and edge network deliver GPU-powered compute and adaptive security closer to users and data than any other cloud platform, enabling real-time inference and agentic AI at global scale.",https://www.akamai.com/,Platinum
CoolIT Systems,"CoolIT Systems specializes in scalable liquid cooling solutions for the world’s most demanding computing environments. A 25-year pioneer in liquid cooling for microprocessors, CoolIT’s technology cools over 5 million GPUs and CPUs globally. CoolIT partners with global processor and server design leaders to develop the most efficient and reliable liquid cooling solutions. CoolIT also provides system design, installation and maintenance services in over 80 countries worldwide.",https://www.coolitsystems.com/,Platinum
CrowdStrike,"CrowdStrike has one of the world’s most advanced cloud-native platforms, protecting critical areas of enterprise risk – endpoints and cloud workloads, identity and data.  Purpose-built in the cloud with a single lightweight-agent architecture.",https://www.crowdstrike.com/,Platinum
Crusoe Energy,"As the AI factory company, Crusoe is on a mission to accelerate the abundance of energy and intelligence. Crusoe provides a reliable, scalable, cost-effective, and environmentally friendly solution for AI infrastructure by harnessing large-scale clean energy, building AI-optimized data centers, and empowering builders to reach their AI potential. Crusoe empowers its customers to build the future faster.",https://www.crusoe.ai/,Platinum
Deloitte,"Deloitte is at the forefront of the pioneering efforts to transform data processing, analytics, and AI. Using GPU-enabled technology, we generate meaningful insights, co-innovate with our clients, and develop solutions to core business challenges. Together, Deloitte and NVIDIA help organizations seize opportunities through an accelerated AI platform, combining computing power and deep learning models to deliver new capabilities, value, and a competitive advantage.",https://www.deloitte.com/,Platinum
Firmus,"Firmus is a global leader addressing AI’s energy challenge. Founded in Australia in 2019, Firmus developed the AI Factory — a new class of purpose-built infrastructure designed to deliver green AI tokens as efficiently as possible. Using advanced liquid cooling, energy-smart systems and modular design, Firmus lowers the cost and impact of AI at scale. In 2025, Firmus launched Project Southgate, Australia’s AI Factory roadmap, anchored by a flagship green AI Factory Campus in Tasmania.",https://firmus.com.sg/,Platinum
HP,"HP Z Workstations & Solutions portfolio includes high- performance laptops, desktops, and solutions designed to accelerate advanced AI workflows and power breakthrough innovation.",https://www.hp.com/,Platinum
IBM,"IBM is a leading global hybrid cloud and AI, and business services provider, helping clients in more than 175 countries capitalize on insights from their data, streamline business processes, reduce costs and gain the competitive edge in their industries. All of this is backed by IBM’s legendary commitment to trust, transparency, responsibility, inclusivity, and service. For more information, visit www.ibm.com",https://www.ibm.com/,Platinum
IREN,"IREN is a leading owner and operator of institutional-grade, highly efficient next-generation data centers powered by 100% renewable energy. Our data centers are optimized for power-dense computing applications including generative AI, Bitcoin mining and beyond.",https://iren.com/,Platinum
Lambda,"Lambda, The Superintelligence Cloud, builds Gigawatt-scale AI Factories for Training and Inference. Lambda’s mission is to make compute as ubiquitous as electricity and give every person access to artificial intelligence. One person, one GPU.",https://lambdalabs.com/,Platinum
Micron Technology,"Micron is a leader in memory and storage solutions, transforming how the world uses information to enrich life for all. Our high-performance DRAM, NAND and NOR products fuel the data economy, enabling advances in AI and compute-intensive applications from the data center to the intelligent edge, and across client and mobile segments.",https://www.micron.com/,Platinum
Mistral AI,"Mistral AI is a pioneer company in generative artificial intelligence, empowering the world with the tools to build and benefit from the most transformative technology of our time. The company democratizes AI through high-performance, optimized, and cutting-edge open-source models, products and solutions as well as end-to-end infrastructure with Mistral Compute.",https://mistral.ai/,Platinum
NetApp,"NetApp is the intelligent data infrastructure company, combining unified data storage, integrated data services, and CloudOps solutions to turn a world of disruption into opportunity for every customer.",https://www.netapp.com/,Platinum
Radiant,"Radiant is a vertically integrated AI infrastructure company combining utility-scale powered land, long-term capital, and a proprietary AI infrastructure software platform. Radiant builds and operates AI factories for enterprises, telecommunications providers, and sovereign institutions, delivering scalable compute with utility-grade economics, operational resilience, and planning horizons aligned to the long-term demands of the AI economy.",https://radiantindustries.com/,Platinum
Samsung Semiconductor,"Samsung Semiconductor is a global technology leader in advanced memory, logic, and foundry solutions for next-generation computing. Our solutions power AI, intelligent edge, and embedded platforms with high performance and energy efficiency. Through close customer collaboration with over 30 years of memory leadership, we optimize system architectures, accelerate time to market, and drive innovation across applications, transforming how data is stored, moved, and processed in the AI era.",https://semiconductor.samsung.com/,Platinum
SAP,"As a global leader in enterprise applications and business AI, SAP  stands at the nexus of business and technology. For over 50 years, organizations have trusted SAP  to bring out their best by uniting business-critical operations spanning finance, procurement, HR, supply chain, and customer experience.",https://www.sap.com/,Platinum
ServiceNow,"ServiceNow (NYSE: NOW) makes the world work better for everyone. Our cloud‑based platform and solutions help digitize and unify organizations so that they can find smarter, faster, better ways to make work flow. So employees and customers can be more connected, more innovative, and more agile. And we can all create the future we imagine. The world works with ServiceNow.",https://www.servicenow.com/,Platinum
SK hynix,"SK hynix is the AI memory specialist — a full-stack creator building sustainable future tech with global partners. We co-engineer memory architectures to unlock peak performance, efficiency, and scalability for next-gen AI. Experience our innovations firsthand at our booth — where AI memory comes alive through real demos and interactive showcases. Together, we’re not just advancing tech — we’re shaping how AI powers the world, responsibly & sustainably. 
-Full Stack AI Memory Creator, SK hynix!",https://www.skhynix.com/,Platinum
VAST Data,"VAST Data is the AI Operating System company, delivering a unified software stack built to unlock AI’s full potential. The VAST AI OS combines data, compute, and agentic execution in one scalable platform, enabling real-time reasoning, AI agent collaboration, and automated workflows at global scale. Powered by VAST’s breakthrough DASE architecture, it removes tradeoffs across performance, scale, simplicity and resilience. VAST transformed its infrastructure into a global fabric for reasoning AI.",https://vastdata.com/,Platinum
Vultr,"Vultr is the world’s largest privately held cloud infrastructure company, serving more than 1.5 million customers across 185 countries and 32 cloud data center regions. As an AI-first global cloud platform, Vultr supports enterprises across financial services, telecom, healthcare, retail, manufacturing, media, and more. Its cloud, GPU, bare metal, Kubernetes, storage, and networking services deliver high performance, transparent pricing, and geographic reach for cloud- and AI-native workloads.",https://www.vultr.com/,Platinum
Advantech,"As an NVIDIA elite partner, Advantech has developed a comprehensive portfolio of industrial AI platforms embedded with the latest NVIDIA technologies. From smart AI cameras and rugged edge systems to high-performance GPU servers, our versatile solutions accelerate AI deployment across robotics, manufacturing, agriculture, healthcare, and more.",https://www.advantech.com/,Gold
Agile Robots SE,"Agile Robots is a leading provider of next-generation automation solutions. By combining artificial intelligence and robotics, the company makes industries smarter, more flexible, and more efficient. Founded in Munich in 2018 by renowned robotics researchers from the German Aerospace Center (DLR), Agile Robots has experienced rapid global growth. Today, more than 2,500 highly skilled robotics and AI enthusiasts are employed in Germany, China, India and the United States.",,Gold
Baseten,"Baseten’s AI inference platform offers industry-leading performance, security, and scale for organizations building AI products. With features like on-chip model optimization, autoscaling, and a developer-friendly interface, Baseten enables rapid, secure, and cost-effective deployment, ensuring businesses can maintain competitive user experiences while adhering to strict compliance requirements.",https://www.baseten.co/,Gold
Cadence,"Cadence is a market leader in AI and digital twins, pioneering the application of computational software to accelerate innovation in silicon, systems, and drug design. Our design solutions, based on Cadence’s Intelligent System Design™ strategy, are the software, hardware and IP that turn design concepts into reality.",https://www.cadence.com/,Gold
Capital One,"At Capital One, we use real-time data at scale, AI and machine learning, and the power of the cloud to solve challenging industry problems and build products, services, and experiences that can make a real difference in millions of peoples’ lives.",https://www.capitalone.com/,Gold
CDW,"CDW is a leading multi-brand technology solutions provider to business, government, education & healthcare customers in the US, UK & Canada with over 30 years experience offering industry-leading technology solutions, services, products & updates.",https://www.cdw.com/,Gold
Cloudflare,"Cloudflare, Inc. (NYSE: NET) is the leading connectivity cloud company. It empowers organizations to make their employees, applications, and networks faster and more secure everywhere, while reducing complexity and cost. Powered by one of the world’s largest and most interconnected networks, Cloudflare blocks billions of threats online for its customers every day.",https://www.cloudflare.com/,Gold
"Databricks, Inc","Databricks is the Data and AI company. More than 20,000 organizations worldwide — including adidas, AT&T, Bayer, Block, Mastercard, Rivian, Unilever, and over 60% of the Fortune 500 — rely on Databricks to build and scale data and AI apps, analytics and agents. Headquartered in San Francisco with 30+ offices around the globe, Databricks offers a unified Data Intelligence Platform that includes Agent Bricks, Lakeflow, Lakehouse, Lakebase and Unity Catalog.",https://www.databricks.com/,Gold
Eaton,"Eaton is a global power management leader helping data centers operate reliably, efficiently, and sustainably. With solutions spanning UPS, PDUs, switchgear, busway, and intelligent monitoring, among others; Eaton optimizes white and gray space to support AI, cloud, and HPC workloads. Its expertise ensures uptime, scalability, and energy efficiency, enabling data centers to meet performance, cost, and sustainability goals.",https://www.eaton.com/,Gold
"Equinix, Inc.","Equinix, Inc. (Nasdaq: EQIX) shortens the path to boundless connectivity anywhere in the world. Its digital infrastructure, data center footprint and interconnected ecosystems empower innovations that enhance our work, life and planet. Equinix connects economies, countries, organizations and communities, delivering seamless digital experiences and cutting-edge AI—quickly, efficiently and everywhere.",https://www.equinix.com/,Gold
Fireworks AI,"Fireworks AI is a compound AI platform that helps enterprises build and deploy AI products at scale. It combines multiple models, modalities, and external tools to solve complex problems, while enhancing speed, reliability, and reducing costs.",https://fireworks.ai/,Gold
Global AI,"Global AI is a U.S.-based sovereign AI infrastructure company that designs, builds, and operates cutting-edge, high-performance AI infrastructure. As the world’s first sovereign AI hyperscaler, it delivers dedicated, single-tenant, air-gapped solutions to nations and enterprises. Global AI defines sovereign AI as the ability to build, operate, and secure AI within one’s own jurisdiction, free from external control and powered by trusted technology.",,Gold
HCLTech,"HCLTech is a global technology company, home to more than 226,600 people across 60 countries, delivering industry-leading capabilities centered around AI, digital, engineering, cloud and software, powered by a broad portfolio of technology services and products. To learn how we can supercharge progress for you, visit hcltech.com.",https://www.hcltech.com/,Gold
Hitachi,"Through its Social Innovation Business (SIB), Hitachi brings together IT, OT (Operational Technology), and products to contribute to a harmonized society where environment, wellbeing, and economic growth are in balance. Hitachi operates globally in four sectors – Digital Systems & Services, Energy, Mobility, and Connective Industries – and the Strategic SIB Business Unit for new growth businesses. Hitachi integrates data, technology, and domain knowledge to solve customer and social challenges.",https://www.hitachi.com/,Gold
Hyve Solutions,"Hyve Solutions Corporation is a leader in the design to worldwide deployment of hyperscale digital infrastructures. In partnership with customers, Hyve leverages deep-seated industry experience and strong vendor partnerships to design and deliver purpose-built server, storage, and networking solutions to meet datacenter demands for today and beyond. Hyve Solutions is a wholly owned subsidiary of TD SYNNEX Corporation (NYSE: SNX).",https://www.hyve.com/,Gold
Infosys,"Infosys is a global leader in next-generation digital services and consulting. Over 323,000 of our people work to amplify human potential and create the next opportunity for people, businesses and communities. We enable clients in 59 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer clients, as they navigate their digital transformation powered by cloud and AI.",https://www.infosys.com/,Gold
Inventec Corporation,"At Inventec, possibilities take shape.
Since 1975, we have offered scalable manufacturing capabilities to help technology brands and innovators scale new concepts worldwide.
Through our expertise and worldwide manufacturing presence, we reliably help customers capture market opportunities and make any vision sustainable and durable, regardless of scale or ambition.
At Inventec, we are inventing today and inspiring tomorrow.",https://www.inventec.com/,Gold
Lightning AI,"Lightning AI, the company behind PyTorch Lightning, provides an end-to-end platform for building, training, and deploying AI systems. Through it’s merger with Voltage Park, a neocloud and AI Factory, Lightning AI delivers  cost-efficient access to large-scale compute alongside tools for experimentation, training, and production - with security, observability, and control built in.",https://lightning.ai/,Gold
Lightwheel,"Lightwheel is a global leader in synthetic data and Embodied AI Solutions. By combining generative AI with simulation, Lightwheel creates physically accurate and highly generalizable datasets that accelerate the deployment of embodied AI and world models. Lightwheel offers a suite of products including SimReady Assets & Scenes, the Data Pyramid, and the Enterprise Evaluation Platform, delivering end-to-end Embodied AI solutions.",,Gold
LITEON Technology,"LITEON, founded in 1975 as Taiwan’s first listed electronics company and LED pioneer, leads globally in power management and optoelectronics. With decades of expertise, LITEON delivers high-efficiency solutions for AI data centers and green infrastructure. Its portfolio spans AI infrastructure, optoelectronics, auto electronics, 5G & AIoT. For 20+ years, LITEON has advanced sustainability, partnering worldwide to create future-ready products and drive social responsibility through action.",https://www.liteon.com/,Gold
Meta,"Meet PyTorch core maintainers and experts from Meta, the PyTorch Foundation, and partners. Discover the latest advances in high-performance AI including custom kernels, Helion compiler, training, Reality Labs, and more. Come visit our booth to meet with experts who can discuss your AI challenges and advancements.",https://about.meta.com/,Gold
MSI,"MSI is a leading global company in the ICT industry with more than 35 years of experience in gaming, content creation, business productivity, and AIoT solutions. Our strong R&D and manufacturing capabilities help to provide efficient DMS solutions for various AIoT applications, including cloud servers, network appliances, AI robotic appliances, vehicle infotainment, industrial automation, and more. We are known as a trusted partner who helps businesses extract value from industrial data.",https://www.msi.com/,Gold
Nokia,"Nokia is a global leader in connectivity for the AI era. With expertise across fixed, mobile, and transport networks, we’re advancing connectivity to secure a brighter world.",https://www.nokia.com/,Gold
PEGATRON,"PEGATRON leverages extensive product development and vertically integrated manufacturing to deliver innovative design and end-to-end production services that efficiently meet customer needs. Building on deep experience in server design, manufacturing, and deployment, PEGATRON develops advanced liquid-cooled and air-cooled x86/ARM servers, racks, and AI clusters for current and future CSP and enterprise data centers.",https://www.pegatroncorp.com/,Gold
Penguin Solutions,"The most exciting technological advancements are also the most challenging. As a NVIDIA Elite Partner & DGX-Ready Managed Services Provider, Penguin provides expert end-to-end support across the full AI lifecycle. Our OriginAI® pre-validated architectures, ICE ClusterWare™ software, and expert services accelerate deployments and optimize performance. We design, build, deploy, and manage HPC enterprise solutions, allowing customers to focus on AI applications and achieve breakthrough innovations.",https://www.penguinsolutions.com/,Gold
Pure Storage,"Pure Storage delivers the world's most powerful data storage platform for HPC and AI. The Pure Storage platform allows organizations ultimate simplicity and flexibility, saving time, money, and energy to store, manage, and protect the world’s data at any scale. From AI to archive, Pure Storage delivers a cloud experience with one unified Storage-as-a-Service platform across on premises, cloud, and hosted environments—with zero planned downtime, guaranteed. Take the next step in your AI journey.",https://www.purestorage.com/,Gold
SHI International Corp.,"Over 17,000 organizations worldwide rely on SHI’s concierge approach to help them solve what’s next with scalable and cost-effective infrastructure, end-user computing, and cybersecurity solutions.",https://www.shi.com/,Gold
Simplismart,"Simplismart is a cloud-agnostic and model-agnostic MLOps platform designed to help you train, monitor, and deploy GenAI workflows with unmatched performance, scalability, and efficiency. With the fastest inference deployments in the industry, it streamlines workflows and offers end-to-end control, enabling enterprise-grade solutions in just a few clicks.",,Gold
SoftServe,"SoftServe is a premier IT consulting and digital services provider and NVIDIA’s 2025 Service Delivery Partner of the Year. We help organizations solve complex business challenges through emerging technologies and measurable outcomes. Our expertise spans NVIDIA’s full stack, across Generative AI, Agentic AI, Physical AI, and Embedded Computing. Clients rely on SoftServe to architect and execute mature and innovative capabilities, such as digital engineering, data and analytics, cloud, and AI/ML.",https://www.softserveinc.com/,Gold
Synopsys,"Synopsys is the leader in engineering solutions from silicon to systems, enabling 
customers to rapidly innovate AI-powered products. We deliver industry-leading 
silicon design, IP, simulation and analysis solutions, and design services. We 
partner closely with our customers across a wide range of industries to maximize 
their R&D capability and productivity, powering innovation today that ignites the 
ingenuity of tomorrow. Learn more at www.synopsys.com.",https://www.synopsys.com/,Gold
Weka,"WEKA is transforming the AI Factory by removing bottlenecks across training and inference—from keeping GPUs fully hydrated with data to solving the toughest memory challenges. At its foundation is NeuralMesh, the only fully software-defined storage system built for AI at scale. With additional capabilities like NeuralMesh Axon (embedded on GPUs), Augmented Memory Grid (a petabyte-scale token warehouse), and WARRP (a RAG blueprint)—WEKA helps organizations build, run, and scale AI efficiently.",https://www.weka.io/,Gold
Yotta Data Services,"Yotta Data Services is a sovereign cloud and AI cloud provider offering data center hosting, connectivity, cybersecurity, and managed IT services. Its MeitY-empanelled Yntraa cloud runs from hyperscale data centers in Panvel and Greater Noida. Yotta’s Shakti Cloud delivers advanced AI services with NVIDIA NIM and GPU-powered clusters. Yotta is the only APAC NVIDIA Cloud Partner in the Exemplar initiative and one of six global Reference Architecture NCPs.",https://yotta.com/,Gold
ABB,"ABB is a global technology leader in electrification and automation. We see our purpose as being to enable a more sustainable and resource-efficient future. By connecting our engineering and digitalization expertise, we help industries run at high performance, while becoming more efficient, productive and sustainable so they outperform. We call this: ‘Engineered to Outrun.’ We have around 110,000 employees worldwide and a history that stretches back more than 140 years.",https://global.abb/,Silver
Anaconda,"Anaconda is the trusted platform that transforms data experimentation into production-ready intelligence. Build with pre-vetted open-source Python packages, including NVIDIA-accelerated GPU libraries, manage environments securely, and deploy AI models like NVIDIA Nemotron with governance. We bring development speed with enterprise grade control to AI workloads, delivering open innovation at scale.",https://www.anaconda.com/,Silver
Arrow,"Since 1935, Arrow Electronics has developed technology solutions that improve business and daily life. As the leading hybrid cloud and AI aggregator, Arrow’s enterprise computing solutions business helps supercharge growth for IT providers and vendors. Our comprehensive capabilities include powerful digital platforms, technical expertise, a multitude of specialized IT services, and a robust global line card of innovative products and solutions.",https://www.arrow.com/,Silver
ASROCK RACK INC.,"ASRock Rack Inc., founded in 2013 in Taipei, Taiwan, is a leading server company renowned for its comprehensive portfolio of server products tailored for a diverse range of applications, from small businesses to large-scale workloads.",,Silver
Astera Labs,"Astera Labs delivers purpose-built connectivity for rack-scale AI infrastructure. Astera Labs’ Intelligent Connectivity Platform supports CXL®, Ethernet, NVLink, PCIe®, and UALink™ technologies with the COSMOS software suite to unify diverse components into cohesive, flexible systems that deliver end-to-end scale-up, and scale-out connectivity. From custom to standards-based solutions, Astera Labs enables customers to deploy architectures tailored to their unique AI infrastructure requirements.",https://www.asteralabs.com/,Silver
"Astris AI, A Lockheed Martin Company","Lockheed Martin, in its work with the U.S. Department of Defense (DoD), faced an immense challenge: meeting the strictest security, governance, and transparency requirements while delivering advanced AI capabilities. Lockheed Martin’s AI Center (LAIC) developed the AI Factory—a secure, scalable, and modular AI platform designed to deliver state-of-the-art AI solutions with full traceability, governance, and security.",,Silver
Capgemini,"Capgemini is an AI-powered global business and technology transformation partner, delivering tangible business value. We imagine the future of organizations and make it real with AI, technology, and people. With our strong heritage of nearly 60 years, we are a responsible and diverse group of 420,000 team members in more than 50 countries. We deliver end-to-end services and solutions with our deep industry expertise and strong partner ecosystem.",https://www.capgemini.com/,Silver
Centific,"Centific is a global digital solutions company accelerating enterprise adoption of Foundational AI and Vision AI. As an elite NVIDIA partner, we power LLMs and VLMs with high-quality data, human-in-the-loop validation, and domain-specific AI integration. From smart retail to public safety, our platforms like VerityAI and the AI Data Foundry help enterprises scale responsibly with trusted, efficient, and ethical AI.",,Silver
Cirrascale Cloud Services,Cirrascale is a specialized cloud and managed services company helping startups to Fortune 500s deploy the latest compute and high-speed storage at scale. Our AI Innovation Cloud helps companies test and deploy on today's leading AI accelerators.,https://cirrascale.com/,Silver
