bu_name,session_title,session_type,session_date,session_time,cosine_similarity,recommendation_reason,focus_areas
CBG,  → PlayerOne: Egocentric World Simulator,Oral Paper,FRI 5 DEC,10:00-11:00,0.4915335,PlayerOne作为首个自我视角现实世界模拟器，精准实现了基于单目视频的3D/4D稀疏重建及相机轨迹控制的视频生成，直接契合CBG挑战点2和挑战点3，极具研究和应用价值。,单目视频驱动的3D/4D场景重建技术; 基于动作分解的部分运动注入算法; 长期视频中场景一致性建模; 多模态（视角转换）同步训练机制; 动态环境下的场景与动作联合重构
计算,The First Workshop on Efficient Reasoning,Workshop,SAT 6 DEC,8 a.m.,0.4792682,该团队在低精度训练和推理研究上有深入探索，与Session聚焦的提升大型推理模型效率的目标高度契合。特别是解决低精度模型在计算架构适配中的挑战，为高效推理算法和系统设计提供关键支持。,低精度训练与推理算法创新; 针对具身、多模态及强化学习应用的模型优化; 动态KV-cache部署策略; 量化图执行技术; 面向资源受限环境的LRM系统设计
计算,ML for Systems,Workshop,SAT 6 DEC,8 a.m.,0.5206536,该团队面临低精度训练推理和Agentic、多模态模型对计算架构的新需求，契合ML for Systems中关于低精度计算与多模态模型应用的前沿研究，参加Workshop有助于掌握最新方法及硬件协同设计。,低精度训练与推理的计算架构优化方法; 面向具身智能和多模态强化学习的新型计算模型; Agentic工作流在系统性能提升中的应用; 基于ML的自适应计算资源调度与管理; LLM模型训练与服务的系统挑战及解决方案
计算,Machine Learning and the Physical Sciences,Workshop,SAT 6 DEC,8 a.m.,0.47825068,本Session聚焦机器学习与物理科学的交叉应用，特别是面向低精度模型训练推理的计算架构需求。团队针对低精训推的挑战点，能从Workshop中获取先进的物理启发式模型和算力优化方案，助力推动下一代芯片与算法的发展。,低精度模型训练与推理技术; 物理启发的神经网络（Physics-Informed Neural Networks）; 跨模态与具身智能的机器学习方法; 面向算力与精度优化的新型芯片架构; 机器学习在气象与气候科学中的应用
计算,AI for Science: The Reach and Limits of AI for Scientific Discovery,Workshop,SUN 7 DEC,8 a.m.,0.45564806,该Session聚焦AI在科学发现中的多领域推理与数据挑战，契合计算团队对低精度训练推理在新应用中的研究需求，有助于团队优化算力与精度定义，提升芯片及模型的竞争力。,跨科学领域的多模态大模型推理技术; 高保真度生成器与替代模型的提升策略; 实验数据稀缺与偏差处理方法; 联合产学研发低精度模型的训练与推理技术; 推动下一代算力架构与低精度计算需求对接
计算,Frontiers in Probabilistic Inference: Learning meets Sampling,Workshop,SUN 7 DEC,8 a.m.,0.452849,该团队关注低精度训练推理技术的发展与芯片算力需求，且Session聚焦通过结合机器学习优化采样方法，提升计算效率与数据利用。这一连接点对实现更低精度模型的高效训练推断极具价值。,基于学习提升的采样方法与计算加速技术; 低精度训练推理对计算架构的影响与优化策略; 多模态及具身强化学习中的采样技术应用; 采样方法与生成模型、最优控制的结合; 下一代芯片算力与精度需求的交叉研究
计算,Learning to Sense (L2S),Workshop,SUN 7 DEC,8 a.m.,0.47809705,该团队关注低精度训练与推理对计算架构的影响，与L2S研讨会联合优化传感器与机器学习模型的低比特能效传感技术高度契合，助力探索低精度模型在嵌入式与移动设备上的应用与算力需求。,低比特和能效感知技术在嵌入式与移动平台的应用; 传感器硬件与神经网络的协同设计; 原始数据（RAW）直接驱动任务的端到端处理方法; 面向新型应用的低精度模型训练与推理策略; 传感器模型体系的鲁棒性及泛化能力提升
计算,Beyond Benchmarks: Rethinking Reasoning in Language Models,Expo Talk Panel,TUE 2 DEC,8:30 a.m.,0.46347564,该Session深入探讨语言模型推理的本质及其评测方法，契合计算团队面对训推范式演进负载特征变化的挑战。理解推理机制有助于精准把握未来训练与推理负载走向，促进模型智能水平提升。,语言模型推理的定义与特征解析; 现有推理评测的局限性及改进方法; 连锁思维（Chain-of-Thought）生成与应用; 训练与推理范式演进对负载特征的影响; 解决复杂问题时模型的分解和泛化能力
计算,  → Advancing Expert Specialization for Better MoE,Oral Paper,THU 4 DEC,3:30-4:30,0.45370558,该Session聚焦通过正交性和方差损失优化MoE专家模型的专门化，提升模型训练与推理的负载均衡效果，直接回应挑战点中对训推范式负载特征变化的跟踪与理解需求，助力团队精准把握未来负载演进。,正交性损失用于专家间的特征分离; 方差损失增强路由决策的区分度; 辅助负载均衡损失与新目标的兼容性; 提升专家模型的专门化能力; 在不同模型结构和基准上的泛化效果
计算,Demystifying depth: Principles of learning in deep neural networks,Invited Talk,FRI 5 DEC,2:30 p.m.,0.45069763,本Session深入解析深度神经网络学习过程中的非线性动力学和隐含表示的形成机理，有助于理解训练和推理新范式下负载特征的巨大差异，精准把握训推范式演进机制，契合挑战点对负载演变的精准定义需求。,非线性学习动力学的数学分析; 共享表示与系统泛化能力的关系; 深度网络中的竞争路径机制; 网络架构与初始化方案的交互影响; 不同架构（前馈、循环、线性注意）下的学习表现
计算,  → EvoLM: In Search of Lost Language Model Training Dynamics,Oral Paper,FRI 5 DEC,10:00-11:00,0.45865726,EvoLM通过系统分析语言模型训练动态，揭示训推阶段的关键演进机制，有助于理解模型架构下负载特征差异。该Session针对挑战点“训推范式演进机理的跟踪与预测”，为团队提供了理论与实践结合的技术深度支持。,训练阶段划分及对模型性能影响分析; 训练中负载特征变化规律与预测; 持续预训练中遗忘问题的缓解策略; 监督微调与强化学习阶段的复杂权衡; 开源训练数据及评估管线的应用
计算,"Evaluating the Evolving LLM Lifecycle:  Benchmarks, Emergent Abilities, and Scaling",Workshop,SUN 7 DEC,8 a.m.,0.509515,该Session聚焦于LLM生命周期的评估方法，与挑战点中对训练与推理新范式负载特征演进机理的跟踪、理解高度契合，有助于团队精准定义未来负载，提升模型智能水平。,评估预训练模型及基础能力的指标体系; 细粒度理解训练与推理范式的负载差异; 先进的后训练评估技术，如RLHF及人机交互评估; 构建统一标准化的评估协议与基准; 深入分析训练推理负载演进对模型性能的影响
计算,AI That Keeps Up: Workshop on Continual and Compatible Foundation Model Updates (CCFM),Workshop,SUN 7 DEC,8 a.m.,0.47641295,该团队关注持续提升模型智能水平及训练推理范式演进，恰与Workshop探讨的基础模型频繁更新、避免性能衰退的技术挑战高度契合，特别是对负载特征演变的跟踪和预测。,基础模型的高效频繁更新方法; 减少模型遗忘和性能退化的持续学习算法; 训练和推理新范式的负载特征分析与预测; 动态且可靠的模型评估体系设计; 保证用户体验一致性的适配策略
计算,BeeAI,Expo Demonstration,TUE 2 DEC,noon,0.45114365,BeeAI框架专注于构建具有确定性和控制性的AI代理，正对应挑战点中对Agentic和多模态模型负载快速演进所带来的计算架构新需求。通过BeeAI的声明式控制机制，团队可提前探索软硬件系统的适应性及稳定性，助力应对未来计算负载挑战。,RequirementAgent设计与实现，确保推理能力和执行确定性的统一; 结合多模态模型的执行控制与负载管理策略; 声明式、规则驱动的代理行为规范与安全性保障机制; 在复杂异构系统中跨模型的一致执行模式; 面向生产环境稳定部署的框架架构与性能优化
计算,Introduction to Generative Computing,Expo Workshop,TUE 2 DEC,noon,0.49956435,该Session聚焦于通过模块化设计和任务分解提升大型语言模型(LLM)的可控性与效率，直接回应了计算团队面临的前沿Agentic及多模态模型负载快速演进带来的软硬件适配需求，有助提前优化计算体系结构。,基于Mellea的模块化编程模型及其在LLM中的应用; LLM内在模块化框架及激活LoRA技术; 任务分解与模块化设计提升模型可预测性与可维护性; 低推理成本及延迟优化方法，如KV缓存复用; 多模态及Agentic框架在计算架构中的集成需求与挑战
计算,Agentic AI/RL,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.46415216,本Session聚焦于Agentic AI及强化学习环境的系统搭建与优化，正对应挑战点中前沿负载对计算架构的新诉求。通过参加，团队能深入了解环境与软硬件系统的综合集成，提升多模态模型部署效率。,可扩展的强化学习环境框架设计; 环境与训练器的高效集成技术; 针对异构硬件优化的高性能模拟器; 强化学习环境中的安全性与鲁棒性基准; 多模态代理模型的负载管理与计算资源调度
计算,Multi-Agent Systems in Industry: From Research to Real-World Impact,Expo Workshop,WED 3 DEC,noon,0.4903433,该Session聚焦于多智能体系统在工业中的实际应用，与挑战点中对Agentic和多模态模型的快速演进对计算架构的新诉求高度契合。团队可借此洞察软硬件系统如何适应前沿计算需求，实现技术创新转化。,人机协作设计，推动人与AI智能体协同工作; 多智能体系统的可扩展架构设计，提升工业应用效率; 安全性与可靠性保障，确保关键系统运行稳健; 面向特定领域（软件工程、科研、创意内容）的多智能体应用; 软硬件计算架构适应Agentic和多模态模型的前沿需求
温哥华云,Introduction to Generative Computing,Expo Workshop,TUE 2 DEC,noon,0.49250478,该Session介绍了基于模块化设计和任务分解的生成式计算新范式，特别针对LLM的可靠性和推理成本问题，能有效支持温哥华云在提升视觉语言模型及大型语言模型强化微调性能的需求。,任务分解与模块化编程模型Mellea; LLM内在模块化及激活LoRAs应用; 降低推理延迟与成本的KV缓存重用; 生成式模型可预测性与错误容忍机制; 联合模型-应用协同设计与调优
温哥华云,"Evaluating the Evolving LLM Lifecycle:  Benchmarks, Emergent Abilities, and Scaling",Workshop,SUN 7 DEC,8 a.m.,0.46675873,本Session深度探讨了LLM生命周期中的评估及其对强化学习微调性能的影响，直接对应温哥华云团队在提升VLMs/LLMs强化微调性能的挑战。参与该Workshop有助于获取先进的评价方法和优化策略。,强化学习微调（Reinforcement Fine-Tuning）的性能评估方法; RLHF与人类反馈在微调中的应用与优化; 多阶段模型评估及其对模型泛化能力的影响; 建立和采用新型基准测试以促进模型性能提升; 解决数据污染和模型记忆对性能评估的影响
温哥华云,Planning in the Era of Language Models,Tutorial,TUE 2 DEC,9:30 a.m.,0.47668377,本Session聚焦自动化规划与大型语言模型的结合，契合温哥华云在物理或具身AI关键领域的战略发展需求。通过学习规划原理与LLM融合技术，有助于深入理解和推动温哥华云在具身AI研究中的创新和应用。,自动化规划原理及方法; 大型语言模型与规划的融合技术; 基于规划的智能决策与推理; 具身AI系统中的规划应用; 规划工具的评估与应用
温哥华云,Large-Scale Real-World Physical AI Systems,Expo Workshop,TUE 2 DEC,noon,0.47286183,该Session聚焦大规模物理AI系统，涵盖传感器、AI模型及动作控制等核心技术，与团队需识别和投资关键物理AI研究领域的挑战点高度契合。参会能助力团队把握2026战略增长的技术前沿。,物理AI系统的传感器设计与集成; 端到端AI模型在感知与动作任务中的应用; 基于视觉-语言-动作(VLA)的多模态模型发展; AI数据飞轮机制实现规模化安全部署; 跨表现形学习与物理AI模型的融合
温哥华云,Recent developments in embodied AI,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.52620614,该Session深入探讨了基于多模态大语言模型的Embodied AI前沿进展，契合温哥华云团队在2026年重点物理或具身AI研究领域的战略布局需求，有助于捕捉行业热点，指导关键技术投入布局。,基于多模态大语言模型的端到端训练方法; 物理世界常识和直觉物理建模; 通用智能机器人控制及实际应用; 边缘设备上的流式推理技术; 强化学习在具身AI中的应用及挑战
温哥华云,"Frontier Open-Weight Models: Building Transparent, Secure, and Sovereign AI",Expo Talk Panel,WED 3 DEC,4:30 p.m.,0.49985814,本Session深入探讨开放权重模型的透明性、安全性和主权控制，契合温哥华云对关键物理或具身AI研究领域的战略投资需求，有助于推动前沿AI模型相关技术的理解与落地。,开放权重模型的训练与对齐技术; 模型透明性与可审计机制; 主权环境下的模型部署与安全策略; 开放访问促进的跨领域协作模式; 提升AI研究的可复现性与安全性
温哥华云,Cosmos World Foundation Model Platform for Physical AI,Expo Talk Panel,WED 3 DEC,4:30 p.m.,0.45757964,该Session详细介绍了NVIDIA Cosmos平台在Physical AI中的核心技术，包括预测、迁移和推理的最新升级，紧密契合了团队在物理及具身AI领域的战略成长挑战点。通过参与，团队可获取前沿技术洞见，助力战略规划。,Physical AI的核心技术架构与发展趋势; Predict 2.5和Transfer 2.5的技术改进和应用; 多任务泛化与模型效率提升方法; 复杂环境中的世界建模与推理技术; 基于物理交互的AI模拟与仿真
温哥华云,"  → Position: If Innovation in AI systematically Violates Fundamental Rights, Is It Innovation at All?",Oral Paper,THU 4 DEC,10:00-11:00,0.45285505,该Session围绕AI创新与基础权利保护的规范框架展开，强调风险评估与责任驱动的监管机制，与温哥华云团队关注的物理或具身AI关键研究领域的战略发展相契合，为推动技术与合规创新提供理论与实践指引。,风险基础的AI监管模式及其对创新的促进作用; 基础权利影响评估（FRIA）在AI设计中的应用; 监管沙盒机制及中小企业支持策略; AI透明度与责任机制的实现路径; 促进技术进步与民主价值平衡的治理工具
温哥华云,Algorithmic Collective Action,Workshop,SAT 6 DEC,8 a.m.,0.45754135,该团队聚焦于2026年物理或具身AI的关键研究领域，与“算法集体行动”工作坊中关于算法协调和社会技术系统的探讨高度契合，有助于推动具身AI中多主体协作与协调机制的研究。,算法集体行动中的协调机制设计; 具身AI系统中的多主体交互优化; 社会技术系统中的算法治理和影响评估; 跨学科方法结合机器学习与经济学优化策略; 促进AI系统社会受益目标的算法开发
温哥华云,Embodied World Models for Decision Making,Workshop,SAT 6 DEC,8 a.m.,0.5276038,此Session紧扣体现物理和具身AI的世界模型技术，与温哥华云在2026年具身AI关键研究领域的战略规划挑战高度契合，有助于团队掌握前沿决策与交互模型，推动技术突破与应用深化。,模型驱动的强化学习与长时规划; 模拟与现实世界物理对齐的机器人学习; 交互式场景生成及其下游任务; 视频-语言-动作模型及大语言模型中的世界知识利用; 应用于开放世界游戏和自动驾驶的世界模型
温哥华云,"LAW 2025: Bridging Language, Agent, and World Models for Reasoning and Planning",Workshop,SUN 7 DEC,8 a.m.,0.4583881,该团队关注物理与具身AI关键研究领域，LAW 2025聚焦语言、代理与世界模型的集成，促进动态环境中AI系统的推理与规划。参与该Session有助于深化对具身智能的理解并驱动战略性研究布局。,语言模型与代理模型的协同机制; 动态环境下的世界建模技术; 基于大型语言模型的自主智能体设计; 多模态信息融合与推理; AI系统的规划与自我解释能力提升
多伦多云,BeeAI,Expo Demonstration,TUE 2 DEC,noon,0.4831554,BeeAI框架专注于通过声明性规则保障AI Agent的可控性和可靠性，直接响应多伦多云关于提升AI Agent评估准确性和覆盖范围及自主学习与持续优化机制的挑战点。参与此Session，有助团队深入理解统一控制层设计，推动Agent评估和优化机制创新。,RequirementAgent设计与实现; 声明性规则对Agent行为的约束机制; 多模型异构环境下的统一执行保障; Agent评估指标的确定与划分; Agent自主学习与持续优化策略的结合
多伦多云,ALICE: Agentic Logic for Incident and Codebug Elimination,Expo Demonstration,TUE 2 DEC,noon,0.47506502,本Session介绍的多智能体协作系统通过结合代码上下文与运行时拓扑，实现了对复杂故障的自动诊断，切实提升了Agent行为的可靠性和管控能力。与多伦多云团队关注的Agent写操作可靠性和行为校验挑战紧密相关，值得深入参与。,"多智能体协作机制; 程序依赖关系知识图构建; 拓扑感知规划（Topology-aware Planning, TAP）; 结合源代码静态分析与运行时观测数据; Agent行为校验与管控策略"
多伦多云,Multi-Agent Systems in Industry: From Research to Real-World Impact,Expo Workshop,WED 3 DEC,noon,0.5048268,该Session深入探讨多Agent系统在工业中的可靠性和优化，正契合多伦多云团队关于Agent行为可靠性及自主学习与持续优化的挑战点。参与会议可助力解决写操作安全与持续演进方案。,Agent行为的可靠性设计与校验机制; 自主学习与持续优化的算法架构; 结合Prompt优化与模型优化的飞轮机制; 多步规划与执行能力的提升; 实际工业应用中的多Agent系统部署与安全保障
多伦多云,Planning in the Era of Language Models,Tutorial,TUE 2 DEC,9:30 a.m.,0.49519083,该团队面临多步执行能力Agent的持续优化挑战，Session聚焦于规划与LLM结合的智能决策机制，能助力设计自主学习和优化机制，直接契合其多轮优化飞轮问题。,自动规划技术在LLM中的应用与集成; 多步执行能力的规划方法; 基于规划的Agent持续优化策略; 规划与Prompt优化飞轮的结合方式; 评估与解释LLM驱动的规划系统性能
多伦多云,Agentic AI/RL,Expo Talk Panel,TUE 2 DEC,4 p.m.,0.48502278,该Session聚焦构建和优化agentic AI系统及其环境，契合多伦多云团队关于Agent上线后自主学习与持续优化机制的挑战，特别是Prompt与模型优化飞轮结合及多步执行能力的持续提升。通过参与，可获取前沿工具和系统创新，助力实现L3+ agent持续优化。,可扩展的强化学习环境框架设计; agent与环境的高效接口集成; 自主学习与模型、Prompt优化飞轮结合机制; L3+ agent的planning与多步执行优化; 安全性与鲁棒性基准测试方法
多伦多云,Rich Sutton_The Oak Architecture: A Vision of SuperIntelligence from Experience,Invited Talk,WED 3 DEC,8:30 a.m.,0.476951,该Session深入介绍了Oak架构中的持续学习和规划能力，契合多伦多云团队关于Agent上线后自主学习及持续优化机制的挑战点，尤其是具备planning与多步执行能力的L3+ agent优化需求。,持续学习机制实现; 专用步长参数的元学习方法; 状态与时间的抽象构建（FC-STOMP流程）; 基于模型的强化学习架构设计; Agent多步规划与策略执行
